review_id,product_category,product_name,rating,review_text,sentiment,review_length,verified_purchase,contains_sarcasm,mixed_sentiment,review_date
REV0001,Electronics,Wireless Earbuds Pro,5,"These earbuds are incredible. Sound quality is crisp, bass is deep, and the noise cancellation actually works. Battery lasts 6+ hours. Worth every penny!",Positive,medium,Yes,False,False,2024-09-10
REV0002,Electronics,Smart Home Hub,5,"Finally got the whole ecosystem working. Setup was easy, the app is intuitive, and everything syncs perfectly. Great investment!",Positive,short,Yes,False,False,2024-09-08
REV0003,Clothing,Running Shoes,5,"Wearing these for my morning runs and they're fantastic. Comfy from the start, no break-in period. Lightweight and great arch support. Exactly what I needed!",Positive,short,Yes,False,False,2024-09-12
REV0004,Home & Garden,Cordless Drill,4,"This drill does everything I need and more. Powerful, feels good in hand, battery charges quickly. Used it for 4 weeks straight on a bathroom remodel. Would definitely buy again.",Positive,medium,Yes,False,False,2024-09-05
REV0005,Beauty,Anti-Wrinkle Serum,5,"Wow, I've seen real results in just 3 weeks. My skin looks firmer and more glowing. No irritation, absorbs quickly. Best beauty product I've tried in years.",Positive,short,Yes,False,False,2024-09-11
REV0006,Books,Mystery Novel,5,Page-turner! Couldn't put it down. The plot twists were genuinely surprising and the characters felt real. Finished it in two days. Already bought the author's other books.,Positive,short,Yes,False,False,2024-09-09
REV0007,Kitchen,Coffee Maker,4,Makes excellent coffee every single time. The programmable feature means I wake up to fresh coffee. Cleans easily. Only minor complaint is the water reservoir could be bigger.,Positive,short,Yes,False,False,2024-09-07
REV0008,Fitness,Yoga Mat,5,"Perfect thickness, doesn't slip during workouts, and it rolls up tight. The color is vibrant and hasn't faded. Using it 5x/week for 2 months and still looks brand new.",Positive,short,Yes,False,False,2024-09-06
REV0009,Furniture,Office Chair,5,Spent $400 on this chair and haven't regretted it for a second. I sit 8 hours a day for work and my back pain is gone. Lumbar support is incredible. Best office furniture investment I've made.,Positive,medium,Yes,False,False,2024-09-04
REV0010,Pet Supplies,Dog Bed,4,"My pup absolutely loves this bed. She sleeps through the night now without restlessness. Easy to clean, looks nice, and seems really durable. Happy customer here!",Positive,short,Yes,False,False,2024-09-03
REV0011,Electronics,Bluetooth Speaker,1,Stopped working after 2 weeks. Tried charging it multiple times but nothing happens. Support is unhelpful and won't process a refund. Waste of $80.,Negative,short,Yes,False,False,2024-09-10
REV0012,Clothing,Winter Jacket,2,Jacket fell apart after 3 wears. Seams are coming undone and the zipper broke. Quality is terrible for the price. Asked for a refund but they said no. Do not buy.,Negative,medium,Yes,False,False,2024-09-08
REV0013,Furniture,Desk,1,One leg was bent when it arrived. Complained to customer service and they said to file a claim myself with shipping. Still waiting. The desk itself wobbles and isn't level.,Negative,medium,Yes,False,False,2024-09-12
REV0014,Kitchen,Blender,2,Blender is SO LOUD that my neighbors complained. Also leaks from the bottom when blending. Overpriced garbage.,Negative,short,No,False,False,2024-09-09
REV0015,Home & Garden,Lawn Mower,1,Engine won't start. Manual says contact support but there's no phone number. Complete waste of money. Should have bought the brand name instead.,Negative,short,No,False,False,2024-09-05
REV0016,Beauty,Face Cream,2,"Broke me out immediately. Itchy, red, and painful. Way too heavy and greasy. Tried using it for a week thinking my skin would adjust but nope. Cost me $60 and caused skin damage.",Negative,medium,Yes,False,False,2024-09-11
REV0017,Books,Cookbook,1,Half the recipes have typos in the ingredients. Missing page 47-48. Photos don't match the recipes. Clearly wasn't proofread. Why would anyone publish this?,Negative,medium,Yes,False,False,2024-09-07
REV0018,Fitness,Resistance Bands,2,Bands snapped after 10 uses. Clearly cheap material. Wouldn't trust these for actual workouts. Sent them back but never received a refund.,Negative,short,Yes,False,False,2024-09-06
REV0019,Pet Supplies,Cat Litter Box,1,Cat refuses to use it. Design is awkward and hard to clean. Costs way more than a regular box for absolutely no benefit. Returned immediately.,Negative,short,Yes,False,False,2024-09-04
REV0020,Clothing,Shoes,1,Size S should fit medium but these fit like toddler shoes. Tried two pairs and same issue. Terrible sizing. Returns are a hassle.,Negative,short,Yes,False,False,2024-09-02
REV0021,Electronics,Phone Case,3,"It's a phone case. Does what it's supposed to do. Protective enough, decent design. Nothing special but nothing terrible either. Gets the job done.",Neutral,short,Yes,False,False,2024-09-10
REV0022,Home & Garden,Garden Hose,3,Regular garden hose. Works fine for watering plants. Nothing extraordinary but does the job. Lasted 2 years so far which seems average.,Neutral,short,Yes,False,False,2024-09-08
REV0023,Kitchen,Spatula,3,Spatula works fine. Non-stick surface hasn't completely worn off yet. Handle is comfortable enough. It's a spatula. It spatulas.,Neutral,short,Yes,False,False,2024-09-12
REV0024,Books,Textbook,3,Had to buy this for my class. Content is clear and organized. Some chapters are better than others. About what you'd expect from a college textbook.,Neutral,short,No,False,False,2024-09-09
REV0025,Furniture,Bookshelf,3,"Bookshelf holds books. Constructed fine, looks okay in the room. Assembly took 2 hours which seems normal. It's a functional bookshelf.",Neutral,short,Yes,False,False,2024-09-11
REV0026,Electronics,Laptop,3,"Processor is great and fast, but the keyboard is really uncomfortable to type on. Battery lasts way longer than expected though. Overall it works but I'm still frustrated with the keyboard design.",Neutral,medium,Yes,False,True,2024-09-10
REV0027,Clothing,Sweater,3,"Love the color and fit, but the material pills like crazy after one wash. Looks cheap even though it wasn't. Annoying because it's otherwise perfect.",Neutral,short,Yes,False,True,2024-09-08
REV0028,Home & Garden,Patio Set,3,"Beautiful design and looks amazing on the patio. But assembly was a nightmare and took 6 hours. Also, one chair is slightly wobbly. Looks great when finished though.",Neutral,medium,Yes,False,True,2024-09-06
REV0029,Beauty,Makeup Palette,4,Colors are gorgeous and blend beautifully. But the compact is way too large to fit in my makeup bag. Also breaks way too easily if dropped. Great quality colors though.,Positive,medium,Yes,False,True,2024-09-09
REV0030,Kitchen,Cookware Set,3,Pans heat evenly and look professional. BUT handles get insanely hot and there's no protection. Had to buy silicone covers separately. Works great once you figure around the design flaw.,Neutral,medium,Yes,False,True,2024-09-07
REV0031,Electronics,Screen Protector,1,"Oh wow, I love how this 'protective' screen protector scratches my phone more than the actual screen. Really worth the $15. Maybe next time I'll just throw my phone on concrete instead, seems safer.",Negative,short,Yes,True,False,2024-09-05
REV0032,Fitness,Ab Roller,2,"Amazing product! After using it for 3 days my abs are totally visible... visible bruises on my knees, that is. This is definitely an abs machine and not a torture device. Highly recommend!",Negative,medium,Yes,True,False,2024-09-04
REV0033,Clothing,Sweater,5,"Perfect! My dad's sweater fits perfectly... if your dad happens to be a bear. Yes, I ordered XL and it fits like I'm wearing a tent. Fashion-forward? More like fashion-backward.",Negative,short,Yes,True,False,2024-09-03
REV0034,Home & Garden,Humidifier,4,"This humidifier really delivers! Mostly water damage and electricity bills, but hey, your walls will be nice and wet! Instructions say 'add water' - wish they mentioned 'add hope you have good insurance.'",Negative,medium,Yes,True,False,2024-09-01
REV0035,Pet Supplies,Fish Tank,4,"Set up the tank and within 2 days fish were thriving. Clear instructions, good build quality. My only wish is that it came with a little more documentation on water cycling, but overall very happy.",Positive,medium,Yes,False,False,2024-08-30
REV0036,Electronics,USB Cable,1,"Advertised as durable but snapped inside the connector after minimal use. It just stops working, very fragile. Typical cheap knockoff masquerading as a quality cable.",Negative,short,Yes,False,False,2024-09-02
REV0037,Books,Self-Help Book,3,"Some chapters have useful advice, others feel like filler. Author repeats the same points over and over again. Took me a month to get through it bc I'd just skip chapters.",Neutral,medium,Yes,False,False,2024-08-28
REV0038,Clothing,Jeans,4,"These jeans are everything - they fit perfectly, the color is exactly what I wanted, and they're ridiculously comfortable from day one. Already ordered a second pair in another color.",Positive,short,Yes,False,False,2024-08-27
REV0039,Kitchen,Cutting Board,1,Board stains immediately and absorbs odors like a sponge. Piece of bamboo isn't worth $30. Should have gotten plastic or glass.,Negative,short,Yes,False,False,2024-08-26
REV0040,Fitness,Jump Rope,5,"Amazing workout tool. Lightweight, adjustable, handles are comfy. Works perfectly for HIIT training. Love that it's portable so I can take it anywhere.",Positive,short,Yes,False,False,2024-08-25
REV0041,Furniture,Nightstand,3,Looks nice and matches my bedroom. Drawers slide smoothly enough. One drawer seems to be sticking but maybe it'll loosen up. Time will tell if it's durable.,Neutral,short,Yes,False,False,2024-08-24
REV0042,Beauty,Hair Conditioner,4,"Hair feels softer and looks shinier after using this. Nice smell. Only issue is it's kind of thick and hard to squeeze out, but results are worth it.",Positive,short,Yes,False,True,2024-08-23
REV0043,Home & Garden,Rake,2,Handle cracked after a few weeks of normal use. Teeth are too close together so it's annoying to rake leaves properly. Won't last more than a season.,Negative,short,Yes,False,False,2024-08-22
REV0044,Electronics,Webcam,4,Picture quality is great for the price. Setup was super easy. Works with all my apps. Would give 5 stars if the lens cap didn't get stuck sometimes.,Positive,short,Yes,False,True,2024-08-21
REV0045,Clothing,Summer Dress,5,Absolutely love this dress! So light and breezy perfect 4 summer. Looks way more expensive than it is. Got so many compliments when I wore it out. Def ordering more colors asap!!,Positive,short,Yes,False,False,2024-08-20
REV0046,Books,Fantasy Novel,5,Best fantasy book I've read in YEARS. The world building is immaculate and I'm obsessed with all the characters. Finished it in 3 days when I shoulda been working lol. Already pre-ordered the sequel!,Positive,short,Yes,False,False,2024-08-19
REV0047,Kitchen,Air Fryer,5,Ok so I was skeptical but this air fryer is genuinely life-changing. Food comes out crispy without being fried. So fast too. Saves me time every single day. 100% worth it.,Positive,medium,Yes,False,False,2024-08-18
REV0048,Pet Supplies,Dog Treats,2,"My dog got sick from these treats. Don't know if it was something in them or what, but she refused to eat them after the first day anyway. Waste of money and worried about her health.",Negative,short,Yes,False,False,2024-08-17
REV0049,Electronics,Headphones,3,"Sound quality is decent, noise cancellation works okay. A bit tight on the head after long wear. Batteries die kinda quick. For the price they're alright nothing spectacular.",Neutral,short,Yes,False,False,2024-08-16
REV0050,Home & Garden,Plant Pots,4,Cute terracotta pots arrived without damage which is rare. Good size and depth for my succulents. Look great on my window sill. Only thing is no drainage holes but I drilled my own.,Positive,short,Yes,False,True,2024-08-15
REV0051,Furniture,TV Stand,2,Wood veneer is already peeling in places and we havent even had it a month. Shelves sag a bit under weight of electronics. Cheaply made overall. Regret not spending more on something better.,Negative,medium,Yes,False,False,2024-08-14
